barcode,created,short_desc,total_sold
4801981164714,2023/01,WILKINS DISTILLED 7L,85
16,2023/01,16,48
4806534190073,2023/01,NOB 3-in-1 Choco Manga Ube 1.5,185
35,2023/01,35,35
4800016622533,2023/01,POT CHIPS V-CUT BBQ 25gx80,130.5
c7,2023/01,CURLS ASST JNJ 7.5 PESOS,42
15,2023/01,15,15
6,2023/01,6,18
4800888206121,2023/01,CREAMSILK TRIPLE KERATIN STR 10ML BY12,40
4801288820153,2023/01,HAPPY COTTON 10G,9
4800361314053,2023/01,BEAR BRAND Junior 420g,190
23,2023/01,23,23
4800361383073,2023/01,CRUNCH Stick 24x60ml,35
15,2023/01,15,15
40329055,2023/01,CAMEL CIG,88
4800523223827,2023/01,MOBY CARAMEL 90G,42
4801688108318,2023/01,REGENT TEMPURA SHRIMP,20
4800523223162,2023/01,CHEEZ IT CHEESE 90G,21
4800552888059,2023/01,CHIPS DELIGHT 80G,58
26,2023/01,26,26
4806502720615,2023/01,GARDENIA CLASSIC 600g,82
48041812,2023/01,MIGHTY GREEN FLIPTOP,107
4800194116084,2023/01,RIBBED CRACKLING 26g XS LS,18
12,2023/01,12,12
4806527711162,2023/01,RC COLA QUTE,110
4806513740299,2023/01,SANMIG SUGARFEE 10S,65
15,2023/01,15,15
16,2023/01,16,16
4806525942063,2023/01,TP SAGOT GULAMAN 500G,110
40329055,2023/01,CAMEL CIG,176
18,2023/01,18,18
4800016052774,2023/01,C2 LITRO APPLE 1000MLX12,47
J18,2023/01,JUICE ASST LITRO,40
120,2023/01,120,120
C18,2023/01,CURLS ASST 18,37
BS18,2023/01,BODY SOAP ASST,39
4807770273674,2023/01,PANCIT CANTON KALAMANSI,13.75
TP9,2023/01,TOOTHPASTE RETAIL 9,18
SC6,2023/01,SHAMPOO/CONDITIONER RETAIL ASST,13
55,2023/01,55,55
750515017450,2023/01,FITA CRACKER,54
8996001603444,2023/01,ENERGEN CHAMPION TWIN BY 8 70G,110
4801981164714,2023/01,WILKINS DISTILLED 7L,85
4800888206565,2023/01,DOVE SERUM  REPAIR BY 12,41
8996001350836,2023/01,WAFELLO CHOCO 53.5G,110
4800016622533,2023/01,POT CHIPS V-CUT BBQ 25gx80,14.5
4800016671807,2023/01,PIATTOS SOUR CREAM 80,14.5
4800194153683,2023/01,BREAD PAN BUTTERED 24g LS,12
4800523220031,2023/01,PEEWEE BBQ,6
4891208040143,2023/01,OISHI CRACKER 26G,6
4800016641008,2023/01,CHIPPY CHILI &amp; CHEESE 30gx100,7
4800016138539,2023/01,GG TORTILLOS BBQ 25gX100,7
4800016022265,2023/01,GT 3IN1 WHITE TWIN PACK 50gX10X24,57.5
P6,2023/01,POWDER RETAIL ASST 6,30
8996001440124,2023/01,ENERGEN MILK HANGER,77
LIPA,2023/01,LIPA PABORITA BY 10,60
4800361410892,2023/01,BEAR BRAND Powdered Milk Drink 300g,118
4806534190011,2023/01,DS Ube Cheesecake 100 ml,31
4800016622533,2023/01,POT CHIPS V-CUT BBQ 25gx80,14.5
4800016663802,2023/01,NOVA COUNTRY CHEDDAR 40gx80,14.5
731126103046,2023/01,NAGARAYA BARBEQUE 40G,22
4806502359709,2023/01,TISYU,12.5
4800016622533,2023/01,POT CHIPS V-CUT BBQ 25gx80,14.5
4800631001928,2023/01,BOY BAWANG ASST NUTS 85G,22
4800016644801,2023/01,PIATTOS CHEESE 40gx80,14.5
731126103046,2023/01,NAGARAYA BARBEQUE 40G,11
C18,2023/01,CURLS ASST 18,18.5
4800216121041,2023/01,CHEEZY SNACK ORIG,6.5
18,2023/01,18,18
4809011681378,2023/01,BOY BAWANG GARLIC 100G,19
4800092331268,2023/01,HIHO CRACKER NUTS,18.5
4800194152891,2023/01,MARTYS SPICY 25g LS,30
731126103046,2023/01,NAGARAYA BARBEQUE 40G,22
4800092331985,2023/01,HIHO BLACK 5G,18.5
20,2023/01,20,40
4800818801884,2023/01,POTCHI CHOCO MALLOWS,23
8886467100031,2023/01,PRINGLES CHEESE 107G,76
4806500802320,2023/01,MAGIC PANTS L10,80
48041812,2023/01,MIGHTY GREEN FLIPTOP,214
48039307,2023/01,MARVELS GREEN,214
40329055,2023/01,CAMEL CIG,176
285,2023/01,285,285
48041812,2023/01,MIGHTY GREEN FLIPTOP,107
48044295,2023/01,MARLBORO RED 20'S,135.5
4809011291706,2023/01,FUN CHOCOLATE,23.5
4800016110528,2023/01,MANG JUAN SUKA'T SILI 18S,21
4801688108318,2023/01,REGENT TEMPURA SHRIMP,20
SC6,2023/01,SHAMPOO/CONDITIONER RETAIL ASST,32.5
4807770274305,2023/01,PANCIT CANTON HOT NEW,137.5
4902430759250,2023/01,TIDE PWD PERF FAN  BY 6,80
P14,2023/01,POWDER RETAIL ASST 14,28
4804888019545,2023/01,WASHED SUGAR 225G,42
4800016012273,2023/01,GT PREMIUM BP 50GX24,38
4806501709314,2023/01,CALLA S FRESH PWD 100G BY 6,66
4902430453295,2023/01,DOWNY G BLOOM 24ML BY6,36
4800361415293,2023/01,MILO TWIN 48G BY 8,118
20,2023/01,20,20
48039406,2023/01,MARVELS RED,107
4804888019545,2023/01,WASHED SUGAR 225G,21
4800888136688,2023/01,SURF BAR BLOSSOM FRESH 360G,26
4902430583183,2023/01,ARIEL POWDER FLORAL BY6,81
4902430831406,2023/01,TIDE POWDER O FRESH BY 6,80
4800888183804,2023/01,SURF PWD ROSE 75G BY6,37
4800016022180,2023/01,GT WHITE CREMA TWIN 50GX10X12,57.5
4800361015400,2023/01,NESTLE CHUCKIE Opti-Grow 250ml,64
4809010997920,2023/01,CHOYO CHOYO STICK UBE 380G,52
4800092110535,2023/01,SUPERSTIX CHOCO JR.,66
4800092660719,2023/01,SUPERSTIX UBE JR.,66
4800029831045,2023/01,FLOWER MALLOWS,105
B25,2023/01,ASST BREAD 25S,120
48041812,2023/01,MIGHTY GREEN FLIPTOP,107
4801958300107,2023/01,AJINOMOTO 11G,50
4809011168053,2023/01,BOSTON PAMINTA DUROG,43
C18,2023/01,CURLS ASST 18,92.5
4800575120303,2023/01,ALASKA CONDENSED CLASSIC MILK 300ML,66
4809013526356,2023/01,MR HAT GULAMAN WHITE 25G,30
748485400860,2023/01,ANGEL EVAPORADA 365ML,29.5
4800361061322,2023/01,NESTLE All-Purpose Cream 250ML,74
4804888019545,2023/01,WASHED SUGAR 225G,21
4902430495073,2023/01,SAFEGUARD  WHITE 85G,39
4800361415347,2023/01,NESCAFE ORIGINAL TWIN by 10,57
4800888151704,2023/01,CLEAR SHAMPOO MENTHOL MEN  12ML,33
4902430708241,2023/01,ARIEL PASSION PWD PROMO 6+1,81
4902430346184,2023/01,DOWNY ANTIBAC 38ML BY6,52
4902430344876,2023/01,DOWNY ANTIBAC 25ML BY6,36
4800365671268,2023/01,SNACKERS NACHOS CHEESE 500G,75
4800047841729,2023/01,ZONROX COLORSAFE 225ML,24.5
16,2023/01,16,48
4808888201115,2023/01,COLGATE TBRUSH CLASSIC,18
4800361344951,2023/01,TWINPOPS Orange 32x75ml,23
4801958391105,2023/01,CRISPY FRY SPICY 1KG,16
4801288850082,2023/01,THOSE DAYS WINGS 8S,38
4800249006636,2023/01,SAN MARINO CHILI CORNED TUNA 150G,36
95509433,2023/01,Marlboro Black FT20s,135.5
20,2023/01,20,20
748485701370,2023/01,555 TUNA SPICY CALDERETA 155G,27.5
18,2023/01,18,18
4806506319563,2023/01,GENERIC LAMPEIN L 15,98
95,2023/01,95,95
20,2023/01,20,20
4800024558268,2023/01,TODAYS MIXED FRUITS 8732G,85
4800361061322,2023/01,NESTLE All-Purpose Cream 250ML,148
4806500807028,2023/01,MAGIC DRI CLOTH XXL10,98
SC6,2023/01,SHAMPOO/CONDITIONER RETAIL ASST,32.5
4806506318863,2023/01,SISTERS NET SIDE NIGHT 8,28
65,2023/01,65,65
M COKE,2023/01,COKE MISMO,170
STRAW,2023/01,STRAW SOFTDRINKS,18
4806501706115,2023/01,CHAMPION BAR SPRSCLN WHITE 145,10
4800047840029,2023/01,ZONROX ORIGINAL 500ML,23
4800888183804,2023/01,SURF PWD ROSE 75G BY6,37
4902430346177,2023/01,DOWNY SUNRISE FRESH 38ML BY6,52
40329055,2023/01,CAMEL CIG,176
4806500807424,2023/01,MAGIC DRI CLOTH XL10,92
